hpo_iri,hpo_label,term,term_label,do_type,digital_object,file_url
http://purl.obolibrary.org/obo/HP_0031441,Abnormal tricuspid valve annulus morphology,http://purl.obolibrary.org/obo/UBERON_0002134,tricuspid valve,ref-organ,https://purl.humanatlas.io/ref-organ/heart-male,https://cdn.humanatlas.io/digital-objects/ref-organ/heart-male/v1.3/assets/3d-vh-m-heart.glb
http://purl.obolibrary.org/obo/HP_0025188,Retinal vasculitis,http://purl.obolibrary.org/obo/UBERON_0002203,vasculature of eye,ref-organ,https://purl.humanatlas.io/ref-organ/blood-vasculature-female,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.3/assets/3d-vh-f-blood-vasculature.glb
http://purl.obolibrary.org/obo/HP_0025188,Retinal vasculitis,http://purl.obolibrary.org/obo/UBERON_0002203,vasculature of eye,ref-organ,https://purl.humanatlas.io/ref-organ/blood-vasculature-male,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.3/assets/3d-vh-m-blood-vasculature.glb
http://purl.obolibrary.org/obo/HP_0033216,Glomerular hyalinosis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.3/assets/3d-vh-f-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033216,Glomerular hyalinosis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.3/assets/3d-vh-f-kidney-r.glb
http://purl.obolibrary.org/obo/HP_0033216,Glomerular hyalinosis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-male-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.3/assets/3d-vh-m-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033216,Glomerular hyalinosis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-male-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.3/assets/3d-vh-m-kidney-r.glb
http://purl.obolibrary.org/obo/HP_0009098,Chronic oral candidiasis,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,ref-organ,https://purl.humanatlas.io/ref-organ/skin-female,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-female/v1.5/assets/3d-vh-f-skin.glb
http://purl.obolibrary.org/obo/HP_0009098,Chronic oral candidiasis,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,ref-organ,https://purl.humanatlas.io/ref-organ/skin-male,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-male/v1.4/assets/3d-vh-m-skin.glb
http://purl.obolibrary.org/obo/HP_0033730,Membranous lupus nephritis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.3/assets/3d-vh-f-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033730,Membranous lupus nephritis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.3/assets/3d-vh-f-kidney-r.glb
